scorer,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws
bodyparts,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,Spine0,Spine0,Spine1,Spine1,Spine2,Spine2,Spine3,Spine3,Spine4,Spine4,Spine5,Spine5
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Record1-6/img003077.png,376.6885411885413,254.5271350271351,370.2085347085348,223.423103923104,317.72048222048227,181.95106245106257,314.480478980479,168.34304884304896,327.44049194049205,162.5110430110431,396.12856062856065,221.47910197910204,381.2245457245458,236.383116883117,381.8725463725465,222.7751032751034,377.98454248454254,206.57508707508714,364.37652887652905,193.61507411507415,348.8245133245133,183.24706374706386,330.6804951804952,174.17505467505475
labeled-data/Record1-6/img005686.png,337.1605016605017,351.07923157923165,311.8884763884764,320.62320112320117,342.99250749250757,238.3271188271189,354.65651915651927,247.39912789912796,346.8805113805114,259.06313956313966,335.8645003645004,317.38319788319797,329.38449388449396,334.2312147312148,324.84848934848935,319.97520047520055,315.77648027648036,299.2391797391799,309.29647379647395,277.2071577071578,316.4244809244809,256.47113697113707,333.92049842049835,251.2871317871319
labeled-data/Record1-6/img009313.png,419.45658395658404,268.7831492831494,401.31256581256594,301.1831816831818,309.29647379647383,294.05517455517463,300.2244647244647,279.7991602991604,313.18447768447766,269.43114993115,394.8325593325594,281.7431622431623,411.0325755325756,283.0391635391636,398.0725625725627,290.81517131517137,377.98454248454254,292.7591732591733,358.5445230445231,289.5191700191701,339.10450360450363,286.2791667791668,320.96048546048553,283.6871641871643
labeled-data/Record1-6/img021978.png,439.54460404460417,267.4871479871481,433.06459756459765,297.2951777951779,377.98454248454254,357.55923805923806,365.0245295245296,368.5752490752492,352.71251721251724,355.6152361152362,409.73657423657426,284.3351648351649,431.12059562059574,280.447160947161,421.40058590058595,292.1111726111727,405.84857034857043,304.423184923185,387.70455220455233,314.7911952911954,372.80053730053737,330.3432108432109,366.32053082053085,349.78323028323035
labeled-data/Record1-6/img054158.png,230.88839538839537,342.6552231552232,261.3444258444258,325.1592056592057,360.488524988525,318.0311985311986,365.0245295245296,330.34321084321095,356.6005211005212,337.47121797121804,267.82443232443234,345.2472257472258,250.32841482841482,340.0632205632206,264.5844290844291,334.87921537921545,285.32044982044977,329.04720954720966,307.3524718524718,324.51120501120505,331.3284958284959,323.21520371520376,351.416515916516,326.4552069552071
labeled-data/Record1-6/img085548.png,470.00063450063465,231.84711234711244,440.19260469260473,239.6231201231202,384.46454896454907,274.6151551151552,370.85653535653546,281.7431622431623,359.84052434052444,272.0231525231526,435.65660015660023,216.94309744309754,454.4486189486189,227.3111078111079,438.8966033966035,227.95910845910856,418.80858330858337,229.90311040311053,396.7765612765613,237.03111753111762,379.92854442854446,250.63913113913122,371.504536004536,269.43114993115006
labeled-data/Record1-6/img106434.png,482.3126468126469,218.88709938709945,468.0566325566326,247.39912789912796,414.27257877257887,313.4951939951941,396.12856062856065,316.73519723519735,393.53655803655806,299.2391797391798,446.0246105246106,233.79111429111435,467.40863190863195,229.90311040311047,457.0406215406216,240.9191214191215,444.08060858060867,252.5831330831332,432.416596916597,268.7831492831494,420.7525852525854,284.98316548316564,408.440572940573,299.8871803871805
labeled-data/Record1-6/img126987.png,273.0084375084375,317.38319788319797,304.76046926046934,303.77518427518436,392.8885573885575,291.46317196317204,392.8885573885575,303.77518427518436,379.92854442854446,305.7191862191863,313.83247833247833,322.56720306720314,294.3924588924589,317.3831978831979,309.29647379647383,312.8471933471934,325.49648999649,304.423184923185,342.3445068445069,294.7031752031753,362.432526932527,290.1671706671707,380.57654507654513,294.7031752031753
labeled-data/Record1-6/img128510.png,418.80858330858337,273.3191538191539,392.8885573885575,255.17513567513578,437.60060210060215,209.16708966708978,438.2486027486028,221.47910197910204,427.2325917325918,223.423103923104,415.5685800685801,245.45512595512605,411.0325755325756,261.00714150714157,403.25656775656785,249.34312984313,392.2405567405568,231.84711234711244,392.8885573885574,213.70309420309434,408.440572940573,203.335083835084,426.58459108459124,211.11109161109175
labeled-data/Record1-6/img137033.png,476.48064098064106,228.60710910710918,440.8406053406054,238.32711882711897,380.57654507654513,273.3191538191539,369.5605340605341,279.1511596511598,360.488524988525,271.37515187515197,436.9526014526016,216.29509679509687,457.6886221886223,228.60710910710918,437.60060210060226,227.95910845910856,414.27257877257887,229.90311040311053,394.18455868455874,235.73511623511632,377.98454248454254,248.6951291951293,370.2085347085348,266.8391473391474
labeled-data/Record1-6/img139922.png,257.456421956422,282.391162891163,293.7444582444583,275.91115641115647,357.8965223965224,242.2151227151228,374.0965385965386,243.51112401112408,370.85653535653535,258.415138915139,296.3364608364608,297.2951777951779,278.1924426924427,286.92716742716755,295.6884601884602,286.27916677916687,312.5364770364771,279.15115965115973,328.0884925884927,273.96715446715456,345.58451008451016,266.1911466911468,357.8965223965225,256.47113697113707
labeled-data/Record1-6/img153742.png,299.57646407646405,334.2312147312148,322.90448740448744,308.3111888111889,389.64855414855424,254.5271350271351,404.5525690525691,258.415138915139,403.9045684045685,269.43114993115,338.45650295650296,326.455206955207,317.72048222048227,326.455206955207,330.6804951804952,318.03119853119864,345.58451008451016,307.01518751518756,359.19252369252376,294.05517455517463,373.44853794853805,279.79916029916035,388.3525528525529,268.13514863514865
labeled-data/Record1-6/img171379.png,385.1125496125496,241.56712206712217,376.6885411885413,267.4871479871481,427.8805923805925,295.3511758511759,431.7685962685963,307.66318816318824,418.80858330858337,316.73519723519735,352.71251721251724,256.47113697113707,372.80053730053737,249.34312984312993,365.0245295245296,261.00714150714157,361.78452628452646,277.8551583551585,373.44853794853805,292.11117261117266,394.18455868455885,299.8871803871805,414.92057942057954,303.12718362718374
labeled-data/Record1-6/img175348.png,390.9445554445555,237.6791181791183,379.92854442854446,260.35914085914095,417.51258201258213,288.87116937116946,423.99258849258854,300.53518103518115,414.27257877257887,307.66318816318824,356.6005211005212,245.45512595512605,378.6325431325432,242.86312336312346,366.9685314685315,253.2311337311338,362.43252693252714,271.37515187515197,369.5605340605341,286.9271674271675,387.7045522045522,294.7031752031753,406.4965709965711,296.6471771471773
labeled-data/Record1-6/img176801.png,465.46462996463003,318.67919917919926,435.00859950859956,321.27120177120185,346.8805113805114,293.40717390717396,341.04850554850566,281.7431622431623,354.65651915651927,272.67115317115326,444.08060858060867,301.8311823311824,451.8566163566164,314.7911952911954,438.8966033966035,310.9031914031915,420.7525852525854,303.77518427518436,398.0725625725627,297.2951777951779,377.33654183654187,291.46317196317204,357.8965223965224,285.6311661311662
labeled-data/Record1-6/img199046.png,286.6164511164511,260.35914085914095,326.1444906444907,252.5831330831332,409.73657423657426,286.27916677916687,412.9765774765775,296.6471771471772,400.66456516456526,303.1271836271836,325.49648999649,275.91115641115647,310.5924750924752,263.5991440991442,326.1444906444907,264.24714474714483,345.58451008451004,266.1911466911468,363.7285282285284,278.5031590031591,381.2245457245458,288.87116937116946,399.368563868564,291.46317196317204
labeled-data/Record1-6/img210957.png,363.72852822852826,329.6952101952103,396.7765612765613,317.38319788319797,466.1126306126307,288.87116937116946,479.7206442206443,287.57516807516816,482.9606474606476,300.53518103518115,403.25656775656785,336.17521667521675,384.46454896454907,329.0472095472096,400.0165645165646,326.455206955207,419.45658395658404,323.21520371520376,440.1926046926046,319.97520047520055,458.9846234846235,312.1991926991928,471.296635796636,300.53518103518115
labeled-data/Record1-6/img235696.png,363.72852822852826,326.455206955207,398.0725625725627,307.66318816318824,444.72860922860934,272.0231525231526,457.0406215406216,265.5431460431461,465.46462996463003,272.67115317115326,404.5525690525691,329.04720954720966,385.1125496125496,322.56720306720314,401.31256581256594,318.0311985311985,418.1605826605828,316.0871965871967,436.9526014526016,312.1991926991928,451.8566163566164,299.8871803871804,455.0966195966197,280.447160947161
labeled-data/Record1-6/img240108.png,488.14465264465275,388.6632691632692,451.20861570861575,402.9192834192835,437.60060210060215,324.5112050112051,455.0966195966197,323.86320436320443,456.3926208926209,335.5272160272161,457.6886221886223,379.59126009126015,470.6486351486352,390.6072711072712,453.1526176526178,390.6072711072712,435.0085995085997,385.423265923266,426.5845910845911,367.92724842724846,431.7685962685962,350.431230931231,443.432607932608,335.52721602721607
labeled-data/Record1-6/img242710.png,354.0085185085186,241.56712206712217,391.59255609255615,246.10312660312667,481.01664551664555,249.9911304911306,487.4966519966521,261.00714150714157,482.3126468126469,268.7831492831494,388.3525528525529,269.43114993115,374.7445392445393,256.47113697113707,390.2965547965549,258.415138915139,410.38457488457504,258.415138915139,431.7685962685964,259.71114021114033,451.85661635661654,260.35914085914095,473.88863838863847,259.7111402111403
labeled-data/Record1-6/img257804.png,431.7685962685963,355.6152361152362,407.14457164457167,330.34321084321095,461.5766260766262,248.04712854712864,473.2406377406378,258.415138915139,471.2966357966359,269.43114993115,433.06459756459765,326.455206955207,425.2885897885899,341.359221859222,420.1045846045847,327.75120825120837,415.5685800685801,305.07118557118565,420.7525852525854,284.3351648351649,438.8966033966035,270.7271512271513,458.33662283662295,262.95114345114354
labeled-data/Record1-6/img277113.png,405.84857034857043,319.32719982719993,385.1125496125496,301.83118233118245,341.04850554850566,226.66310716310727,354.0085185085186,220.18310068310075,363.0805275805277,227.3111078111079,402.6085671085672,291.46317196317204,401.31256581256594,305.7191862191863,392.2405567405568,294.7031752031753,376.04054054054063,282.391162891163,361.1365256365257,271.37515187515197,350.76851526851533,253.87913437913448,351.4165159165161,233.79111429111435
labeled-data/Record1-6/img295288.png,327.44049194049205,345.8952263952265,340.400504900505,318.6791991791992,420.1045846045847,263.59914409914416,431.7685962685963,271.37515187515197,428.52859302859315,283.6871641871643,360.488524988525,336.82321732321736,341.04850554850566,335.5272160272161,352.71251721251724,327.1032076032077,363.72852822852826,314.14319464319476,380.576545076545,300.5351810351811,400.0165645165647,287.57516807516816,418.8085833085835,277.20715770715776
labeled-data/Record1-6/img312741.png,407.79257229257234,292.11117261117266,387.05655155655165,269.43114993115006,362.432526932527,190.37507087507095,372.80053730053737,178.7110592110593,385.7605502605503,183.89506439506448,408.440572940573,262.95114345114354,403.25656775656785,279.7991602991604,398.72056322056335,266.1911466911468,393.53655803655806,249.99113049113055,387.05655155655165,230.55111105111115,381.87254637254637,211.1110916110917,376.0405405405405,191.67107217107224
labeled-data/Record1-6/img319299.png,386.408550908551,324.51120501120505,387.05655155655165,293.40717390717396,401.31256581256594,211.75909225909237,414.92057942057943,204.63108513108523,424.6405891405892,214.99909549909557,409.73657423657426,299.23917973917986,396.7765612765613,310.9031914031915,398.72056322056324,297.2951777951779,402.6085671085672,278.50315900315906,406.4965709965711,258.41513891513904,409.73657423657426,237.03111753111762,411.6805761805764,217.59109809109822
labeled-data/Record1-6/img358344.png,420.1045846045847,311.5511920511921,396.7765612765613,286.9271674271675,378.63254313254333,204.63108513108523,388.3525528525529,195.55907605907618,399.3685638685639,203.33508383508394,420.7525852525853,278.5031590031591,414.27257877257887,295.99917649917654,409.0885735885736,281.7431622431623,401.31256581256594,268.7831492831494,394.8325593325594,250.63913113913128,391.59255609255626,230.55111105111115,389.64855414855424,212.407092907093
